Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,451888201.11,509167006.63,442309235.93,577464375.59,611295312.27,520962469.58,471950680.43,495836072.94,480958390.71,508272010.16,NA
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,8.25,7.63,11.64,11.87,9.23,11.44,11.70,11.08,NA,NA
Afghanistan,AFG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,34.66,67.46,65.72,60.06,73.75,70.71,83.08,97.85,70.76,69.58,86.89
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,49.90,4.70,4.96,4.85,7.78,12.05,11.07,12.20,8.89,NA,NA
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,100.00,111.80,119.01,127.80,133.77,132.88,138.71,145.61,146.52,149.90,NA
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,2.50,2.50,2.50,2.50,3.00,3.00,2.50,2.50,2.50,2.50,2.50
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.00,2.00,2.00,2.00
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.70,43.22,69.10,68.98,89.50,71.50,97.70,97.70,98.72,97.70,NA
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,NA,10.54,NA,NA,11.51,NA,NA,18.02,NA,NA,NA
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,14939998018.78,16777829531.70,18861707735.37,19447328094.33,19383671893.23,19039855340.63,17305951275.51,18214418737.55,17594190732.13,18649298572.14,NA
Afghanistan,AFG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,10443129.76,26493637.75,34477197.57,14947627.78,14100243.21,9737234.51,12931133.92,21533308.71,28262379.09,20748585.02,NA
Afghanistan,AFG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.00,0.00,0.00,365454.97,472153.30,305153.65,388837.21,0.00,0.00,0.00,NA
Afghanistan,AFG,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,32834589.04,31825711.39,30760481.83,31335819.49,32417332.60,34371670.77,42870850.04,30430298.48,37401195.35,43302947.81,NA
Afghanistan,AFG,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,535346670.80,643492586.59,681231947.57,714607884.99,702925546.05,663023905.41,577403184.26,575149709.44,557892202.22,521580871.76,NA
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.30,0.41,0.34,0.26,0.23,0.23,0.21,0.20,0.20,NA,NA
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,81.68,82.63,84.92,81.15,80.70,80.41,NA,NA,NA,NA,NA
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.57,8.56,7.90,8.81,9.53,10.11,11.82,12.62,14.13,13.24,NA
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.25,7.94,7.65,7.38,7.14,6.93,6.74,6.58,6.42,6.29,6.16
Afghanistan,AFG,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,NA,NA,NA,NA,NA,39.26,38.94,37.13,44.20,44.06,NA
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
